Urgent_Care,Address,Lat,Lng
MedSpring Urgent Care – Upper Greenville,"4844 Greenville Ave, Dallas",32.846878499999995,-96.7696944
CityDoc Urgent Care Uptown,"2909 McKinney Ave, Dallas",32.799885499999995,-96.8011493
MedSpring Urgent Care - Knox-Henderson,"4617 N Central Expy, Dallas",32.822750000000006,-96.786171
PrimaCare Medical Center,"6350 E Mockingbird Ln, Dallas",32.8361038,-96.7533946
MedSpring Urgent Care - Uptown Dallas,"2404 McKinney Ave, Dallas",32.794725,-96.802021
Baylor Scott & White Urgent Care - Lovers Lane,"5800 E Lovers Ln, Dallas",32.8505401,-96.7671194
Concentra Urgent Care,"5601 Greenville Ave, Dallas",32.8544473,-96.7696059
CityDoc Urgent Care Preston/Royal,"10759 Preston Rd #200, Dallas",32.894236,-96.804574
UrgentCare Travel Clinic,"7383 Bonnie View Rd, Dallas",32.6568196,-96.7506864
CityDoc Urgent Care Inwood Village,"5301 W Lovers Ln #109, Dallas",32.851409600000004,-96.820499
MedPost Urgent Care of Dallas,"9540 Garland Rd c408, Dallas",32.834661,-96.700688
Parkland Urgent Care Clinic,"5200 Harry Hines Blvd, Dallas",32.811199,-96.8353521
CareNow Urgent Care - Lakewood,"2221 Abrams Rd, Dallas",32.816829999999996,-96.7533
Medical City Children's Urgent Care Dallas Clinic,"6805 W, TX-12 Loop, Dallas",32.8661603,-96.78854100000001
Hillcrest Medical,"8611 Hillcrest Ave #180, Dallas",32.8668747,-96.7871901
CareNow Urgent Care - Abrams,"9323 Lyndon B Johnson Fwy, Dallas",32.913437699999996,-96.73692159999999
Raypha Urgent Care & Clinics,"3334 Broadway Blvd, Garland",32.8752783,-96.61702530000001
MedSpring Urgent Care - Oak Lawn,"4501 Lemmon Ave, Dallas",32.8188691,-96.8142432
CareNow Urgent Care - North Dallas,"14856 Preston Rd Suite 100, Dallas",32.9508613,-96.8029907
MedSpring Urgent Care - Richardson,"377 W Campbell Rd #100, Richardson",32.975013,-96.7230661
Complete Med Care - Primary & Urgent Care,"8989 Forest Ln #146, Dallas",32.9096218,-96.7492786
FastMed Urgent Care,"1015 W Centerville Rd #100, Garland",32.8588637,-96.6463575
"Today Clinic Urgent Care, Dallas","3330 Douglas Ave, Dallas",32.8145047,-96.811048
MinuteClinic,"3133 Lemmon Ave E, Dallas",32.8068783,-96.7980814
PrimaCare Medical Center,"7910 Belt Line Rd, Dallas",32.950246,-96.77104500000002
Concentra Urgent Care,"1450 Empire Central Suite 100, Dallas",32.8257322,-96.8661176
