Urgent_Care,Address,Lat,Lng
CareNow Urgent Care - Las Colinas - MacArthur,"7400 N MacArthur Blvd, Irving",32.90753580000001,-96.9582614
Integra Urgent Care - Grand Prairie,"3950 S Carrier Pkwy Ste 110, Grand Prairie",32.6779586,-97.0089385
Urgent Care of Texas & Expecare Family Care @ Arlington,"6407 S Cooper St #117, Arlington",32.6408484,-97.13362409999999
CareNow Urgent Care - Uptown,"2404 McKinney Ave, Dallas",32.794725,-96.802021
Integra Urgent Care - Las Colinas,"7447 N MacArthur Blvd Ste 190, Irving",32.9078226,-96.96052730000001
CareNow Urgent Care – Greenville,"4844 Greenville Ave, Dallas",32.8468785,-96.76969439999999
CareNow Urgent Care - Cedar Hill,"345 N Hwy 67, Cedar Hill",32.5937493,-96.9434082
CareNow Urgent Care - Southlake,"2751 E State Hwy 114, Southlake",32.9419936,-97.10847799999999
CareNow Urgent Care - Mansfield,"1501 U.S. 287 Frontage Rd, Mansfield",32.585996,-97.1391685
Urgent Care of Texas @ Coppell,"651 N Denton Tap Rd #100, Coppell",32.984422,-96.993967
CareNow Urgent Care - North Dallas,"14856 Preston Rd Suite 100, Dallas",32.9508613,-96.8029907
MedExpress Urgent Care,"3700 S Cooper St, Arlington",32.68584,-97.13229
CareNow Urgent Care - Hurst,"779 Grapevine Hwy, Hurst",32.8568444,-97.1839767
MedExpress Urgent Care,"3413 N Belt Line Rd, Irving",32.85221000000001,-96.99289
CareNow Urgent Care - Knox Henderson,"4617 N Central Expy, Dallas",32.82275000000001,-96.786171
SwiftCare Urgent Care,"1201 N Main St #600, Euless",32.8536362,-97.0829157
CareNow Urgent Care - Eastchase,"8450 East Fwy, Fort Worth",32.7591911,-97.1704936
Methodist Urgent Care – Mansfield,"1718 U.S. 287 Frontage Rd Suite 100, Mansfield",32.5919867,-97.14153250000001
Code 3 ER & Urgent Care,"4228 N Josey Ln #100, Carrollton",33.0266022,-96.88406379999999
MacArthur Urgent & Family Care,"8787 N MacArthur Blvd #120b, Irving",32.9261986,-96.95304720000001
