Urgent_Care,Address,City,Location,Zipcode
UrgentCare Travel Clinic,7383 Bonnie View Rd,Dallas,"{'lat': 32.6568196, 'lng': -96.75068639999999}",75241
Cook Children's Urgent Care,801 Matlock Rd,Mansfield,"{'lat': 32.5747921, 'lng': -97.1018285}",76063
Raypha Urgent Care & Clinics,3334 Broadway Blvd,Garland,"{'lat': 32.8752783, 'lng': -96.6170253}",75043
MedPost Urgent Care of Sachse,7760 TX-78,Sachse,"{'lat': 32.990976, 'lng': -96.5714723}",75048
Legacy ER & Urgent Care,8950 N Tarrant Pkwy,NorthRichlandHills,"{'lat': 32.9031656, 'lng': -97.19326579999999}",76182
Legacy ER & Urgent Care,1310 W Exchange Pkwy,Allen,"{'lat': 33.1161007, 'lng': -96.7000508}",75013
Legacy ER & Urgent Care,330 S Denton Tap Rd,Coppell,"{'lat': 32.9621369, 'lng': -96.9930727}",75019
Legacy ER & Urgent Care,9205 Legacy Dr,Frisco,"{'lat': 33.154859, 'lng': -96.84861699999999}",75033
MedPost Urgent Care of Rowlett,2101 Lakeview Pkwy,Rowlett,"{'lat': 32.90889810000001, 'lng': -96.58274829999999}",75089
CareNow Urgent Care - Carrollton,1017 W Hebron Pkwy,Carrollton,"{'lat': 33.0200531, 'lng': -96.91717299999999}",75010
CareNow Urgent Care - Grand Prairie,2520 W I-20,GrandPrairie,"{'lat': 32.6770782, 'lng': -97.04043589999999}",75052
MedExpress Urgent Care,10152 Lake June Rd,Dallas,"{'lat': 32.7336059, 'lng': -96.6492602}",75217
CareNow Urgent Care - I-20 & Wheatland,39769 I-20,Dallas,"{'lat': 32.64971, 'lng': -96.864753}",75237
Heal 360 Primary & Urgent Care,3400 W  FM 544 Suite #650,Wylie,"{'lat': 33.0107277, 'lng': -96.59243719999999}",75098
CityDoc Urgent Care Uptown,2909 McKinney Ave,Dallas,"{'lat': 32.7998855, 'lng': -96.80114929999999}",75204
Concentra Urgent Care,5910 N MacArthur Blvd #133,Irving,"{'lat': 32.8919801, 'lng': -96.9595161}",75061
CareNow Urgent Care - Frisco Preston Rd,5644 Preston Rd,Frisco,"{'lat': 33.1252526, 'lng': -96.8047533}",75034
UrgentCare2go - 24/7 Mobile Urgent Care,2929 N Galloway Ave Suite 116,Mesquite,"{'lat': 32.8059007, 'lng': -96.61148209999999}",75150
CareNow Urgent Care - Plano,3821 W Spring Creek Pkwy,Plano,"{'lat': 33.05704660000001, 'lng': -96.7679601}",75023
CareNow Urgent Care - Frisco West,301 W Main St,Frisco,"{'lat': 33.1529527, 'lng': -96.8895757}",75034
Legacy ER & Urgent Care,9205 Legacy Dr,Frisco,"{'lat': 33.154859, 'lng': -96.84861699999999}",75033
Sinai Urgent Care,18101 Preston Rd #201,Dallas,"{'lat': 32.9990073, 'lng': -96.798757}",75252
FastMed Urgent Care,1015 W Centerville Rd #100,Garland,"{'lat': 32.8588637, 'lng': -96.6463575}",75041
SwiftCare Urgent Care,1201 N Main St #600,Euless,"{'lat': 32.8536362, 'lng': -97.0829157}",76039
PrimaCare Medical Center,1280 N Town E Blvd,Mesquite,"{'lat': 32.8103998, 'lng': -96.6143084}",75150
Integra Urgent Care - Grand Prairie,3950 S Carrier Pkwy Ste 110,GrandPrairie,"{'lat': 32.6779586, 'lng': -97.0089385}",75052
MedSpring Urgent Care - Richardson,377 W Campbell Rd #100,Richardson,"{'lat': 32.975013, 'lng': -96.7230661}",75080
CareNow Urgent Care - Allen,1218 W McDermott Dr,Allen,"{'lat': 33.1012681, 'lng': -96.6962931}",75013
CareNow Urgent Care - North Garland,5106 N President George Bush Hwy,Garland,"{'lat': 32.964361, 'lng': -96.63803809999999}",75040
MedSpring Urgent Care - Las Colinas,7400 N MacArthur Blvd,Irving,"{'lat': 32.90753580000001, 'lng': -96.9582614}",75063
Rapid Med Urgent Care,3800 Main St,TheColony,"{'lat': 33.0694896, 'lng': -96.890752}",75056
1st Class Urgent Care,529 N Galloway Ave #16,Mesquite,"{'lat': 32.7724944, 'lng': -96.60067149999999}",75149
Concentra Urgent Care,2160 E Lamar Blvd,Arlington,"{'lat': 32.7609312, 'lng': -97.07388639999999}",76006
Rapid Med Urgent Care,8501 FM407,DoubleOak,"{'lat': 33.0715678, 'lng': -97.08840509999999}",75077
MedSpring Urgent Care - Uptown Dallas,2404 McKinney Ave,Dallas,"{'lat': 32.794725, 'lng': -96.802021}",75201
MedPost Urgent Care - Rockwall Ridge Road,2951 Ridge Rd #107,Rockwall,"{'lat': 32.8886219, 'lng': -96.4725458}",75032
