Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Count,City
75001,13214.0,32.2,57633.0,43919.0,1722.0,13.031633116391706,433.0,Addison
75006,47590.0,34.8,56985.0,27010.0,6927.0,14.55557890313091,1996.0,Carrollton
75019,39551.0,37.9,110445.0,48040.0,1624.0,4.106090870015929,985.0,Coppell
75038,28161.0,30.0,48130.0,28391.0,4581.0,16.267178012144456,1512.0,Irving
75039,12197.0,32.2,73503.0,65135.0,819.0,6.714765926047389,264.0,Irving
75040,59792.0,32.4,54664.0,20387.0,9346.0,15.63085362590313,3054.0,Garland
75041,30684.0,30.9,40136.0,16646.0,6975.0,22.731716855690262,1659.0,Garland
75042,40185.0,30.0,39811.0,15085.0,10577.0,26.320766455144955,2490.0,Garland
75043,58120.0,34.0,55149.0,24046.0,6512.0,11.204404679972471,3233.0,Garland
75044,41578.0,38.9,64302.0,30021.0,3740.0,8.995141661455577,2026.0,Garland
75048,20930.0,37.3,87171.0,34473.0,1081.0,5.164835164835165,697.0,Sachse
75050,40652.0,31.0,44548.0,21322.0,7835.0,19.273344484896192,1681.0,Grand Prairie
75051,41345.0,29.4,40107.0,16077.0,9865.0,23.860200749788365,2442.0,Grand Prairie
75052,89743.0,32.3,66744.0,24938.0,9405.0,10.479926010942357,4377.0,Grand Prairie
75054,6256.0,33.3,105000.0,34934.0,483.0,7.720588235294118,211.0,Grand Prairie
75060,46409.0,32.6,45775.0,18383.0,8982.0,19.354004611174556,3033.0,Irving
75061,53233.0,30.6,40084.0,17739.0,11404.0,21.422801645595776,2247.0,Irving
75062,46200.0,32.3,45872.0,22822.0,7305.0,15.811688311688311,1981.0,Irving
75063,36425.0,32.9,69114.0,42679.0,2575.0,7.069320521619766,1514.0,Irving
75080,45616.0,33.0,60440.0,30713.0,8006.0,17.550859347597335,2023.0,Richardson
75081,34286.0,38.1,63470.0,30789.0,3108.0,9.064924458962842,1902.0,Richardson
75082,21670.0,40.7,111726.0,49169.0,731.0,3.373327180433779,524.0,Richardson
75088,26237.0,39.2,81425.0,31831.0,1188.0,4.527956702366886,1208.0,Rowlett
75089,29640.0,36.0,86134.0,30587.0,1593.0,5.374493927125506,1103.0,Rowlett
75104,45935.0,34.1,67691.0,29045.0,3977.0,8.657886143463589,2172.0,Cedar Hill
75115,49839.0,39.6,61729.0,28055.0,4446.0,8.920724733642329,2583.0,Desoto
75116,20135.0,31.3,53706.0,20590.0,2940.0,14.601440278122672,827.0,Duncanville
75134,19910.0,32.7,46971.0,18451.0,4012.0,20.15067805123054,1490.0,Lancaster
75137,18865.0,39.1,58895.0,27187.0,1952.0,10.347203816591572,794.0,Duncanville
75141,5347.0,30.5,34786.0,14239.0,1042.0,19.487563119506266,237.0,Hutchins
75146,18567.0,35.2,59244.0,22908.0,2305.0,12.414498842031561,741.0,Lancaster
75149,58427.0,31.8,47739.0,19636.0,8544.0,14.623376178821434,2053.0,Mesquite
75150,58143.0,32.7,45999.0,22317.0,9064.0,15.589150886607158,2674.0,Mesquite
75159,18379.0,35.6,45479.0,19964.0,2017.0,10.974481745470374,404.0,Seagoville
75172,4015.0,33.1,39246.0,14773.0,1264.0,31.48194271481943,175.0,Wilmer
75180,23360.0,27.2,37787.0,14716.0,6633.0,28.39469178082192,750.0,Balch Springs
75181,26200.0,32.1,73879.0,24504.0,3288.0,12.549618320610687,1126.0,Mesquite
75182,5292.0,42.6,90366.0,37243.0,122.0,2.305366591080877,160.0,Sunnyvale
75201,10213.0,31.2,67979.0,68037.0,1374.0,13.453441691961226,234.0,Dallas
75202,2133.0,31.5,79681.0,60778.0,140.0,6.563525550867323,65.0,Dallas
75203,15514.0,31.2,28602.0,13443.0,5735.0,36.96661080314555,834.0,Dallas
75204,26586.0,29.7,63551.0,51015.0,5122.0,19.26577898141879,1187.0,Dallas
75205,23384.0,31.0,108913.0,84264.0,1562.0,6.679781046869654,745.0,Dallas
75206,37198.0,31.0,52192.0,42496.0,6623.0,17.804720683907735,1820.0,Dallas
75207,9561.0,32.7,74792.0,14458.0,120.0,1.255098839033574,33.0,Dallas
75208,31299.0,33.1,45170.0,24955.0,7043.0,22.502316367935077,1139.0,Dallas
75209,15312.0,36.7,79408.0,61715.0,1857.0,12.127742946708464,504.0,Dallas
75210,6125.0,35.3,15258.0,9484.0,3181.0,51.93469387755102,436.0,Dallas
75211,73530.0,28.0,36704.0,13145.0,19726.0,26.82714538283694,3415.0,Dallas
75212,25756.0,28.0,28802.0,10998.0,8432.0,32.738002795465135,1899.0,Dallas
75214,33460.0,37.3,69168.0,54521.0,3734.0,11.159593544530782,1039.0,Dallas
75215,14118.0,43.1,23433.0,16352.0,5331.0,37.76030599235019,1076.0,Dallas
75216,49342.0,34.4,23294.0,11422.0,19463.0,39.44509748287463,2233.0,Dallas
