City,Population,ZipCode
Addison,"12,414",75001
Carrollton,"46,364",75006
Carrollton,0,75011
Irving,0,75014
Irving,0,75015
Irving,0,75016
Irving,0,75017
Coppell,"38,666",75019
Rowlett,0,75030
Irving,"27,802",75038
Irving,"11,032",75039
Garland,"59,406",75040
Garland,"30,700",75041
Garland,"37,881",75042
Garland,"58,094",75043
Garland,"40,811",75044
Garland,0,75045
Garland,0,75046
Garland,0,75047
Sachse,"20,328",75048
Garland,0,75049
Grand Prairie,"41,041",75050
Grand Prairie,"39,285",75051
Grand Prairie,"88,996",75052
Grand Prairie,0,75053
Grand Prairie,"5,053",75054
Irving,0,75059
Irving,"45,980",75060
Irving,"53,442",75061
Irving,"44,537",75062
Irving,"35,090",75063
Irving,0,75064
Richardson,"44,009",75080
Richardson,"34,156",75081
Richardson,"21,182",75082
Richardson,0,75083
Richardson,0,75085
Rowlett,"24,712",75088
Rowlett,"30,251",75089
Coppell,0,75099
Cedar Hill,"45,373",75104
Cedar Hill,0,75106
Desoto,"48,877",75115
Duncanville,"19,669",75116
Desoto,0,75123
Lancaster,"20,276",75134
Duncanville,"18,861",75137
Duncanville,0,75138
Hutchins,"5,374",75141
Lancaster,"17,993",75146
Mesquite,"56,065",75149
Mesquite,"58,730",75150
Seagoville,"18,339",75159
Wilmer,"3,956",75172
Balch Springs,"23,031",75180
Mesquite,"25,908",75181
Sunnyvale,"5,118",75182
Mesquite,0,75185
Mesquite,0,75187
Dallas,"9,409",75201
Dallas,"1,666",75202
Dallas,"15,721",75203
Dallas,"26,279",75204
Dallas,"23,061",75205
Dallas,"36,248",75206
Dallas,"9,648",75207
Dallas,"30,171",75208
Dallas,"13,653",75209
Dallas,"7,482",75210
Dallas,"73,146",75211
Dallas,"24,884",75212
Dallas,"32,950",75214
Dallas,"14,648",75215
Dallas,"49,416",75216
Dallas,"80,324",75217
Dallas,"21,665",75218
Dallas,"22,124",75219
Dallas,"41,891",75220
Dallas,0,75221
Dallas,0,75222
Dallas,"13,947",75223
Dallas,"34,034",75224
Dallas,"20,892",75225
Dallas,"3,506",75226
Dallas,"55,029",75227
Dallas,"66,551",75228
Dallas,"31,571",75229
Dallas,"26,934",75230
Dallas,"37,052",75231
Dallas,"28,682",75232
Dallas,"14,043",75233
Dallas,"28,794",75234
Dallas,"17,177",75235
Dallas,"15,949",75236
Dallas,"17,101",75237
Dallas,"30,483",75238
Dallas,"24,296",75240
Dallas,"27,066",75241
Dallas,0,75242
Dallas,"55,406",75243
Dallas,"13,266",75244
Dallas,"2,770",75246
Dallas,468,75247
Dallas,"33,395",75248
Dallas,"13,373",75249
Dallas,0,75250
Dallas,"2,331",75251
Dallas,"18,450",75253
Dallas,"23,253",75254
Dallas,0,75260
Dallas,0,75261
Dallas,0,75262
Dallas,0,75263
Dallas,0,75264
Dallas,0,75265
Dallas,0,75266
Dallas,0,75267
Dallas,0,75270
Dallas,0,75275
Dallas,0,75277
Dallas,0,75283
Dallas,0,75284
Dallas,0,75285
Dallas,0,75301
Dallas,0,75303
Dallas,0,75312
Dallas,0,75313
Dallas,0,75315
Dallas,0,75320
Dallas,0,75326
Dallas,0,75336
Dallas,0,75339
Dallas,0,75342
Dallas,0,75354
Dallas,0,75355
Dallas,0,75356
Dallas,0,75357
Dallas,0,75358
Dallas,0,75359
Dallas,0,75360
Dallas,0,75367
Dallas,0,75368
Dallas,0,75370
Dallas,0,75371
Dallas,0,75372
Dallas,0,75373
Dallas,0,75374
Dallas,0,75376
Dallas,0,75378
Dallas,0,75379
Dallas,0,75380
Dallas,0,75381
Dallas,0,75382
Dallas,0,75389
Dallas,0,75390
Dallas,0,75391
Dallas,0,75392
Dallas,0,75393
Dallas,0,75394
Dallas,0,75395
Dallas,0,75397
Dallas,0,75398
